RUN=impl_1 STATUS=Not started SRCSET=sources_1 PARENT=synth_1
RUN=synth_1 STATUS=synth_design Complete! SRCSET=sources_1 PARENT=
RUN=system_axi_bram_dyn_desc_0_impl_1 STATUS=Not started SRCSET=system_axi_bram_dyn_desc_0 PARENT=system_axi_bram_dyn_desc_0_synth_1
RUN=system_axi_bram_dyn_desc_0_synth_1 STATUS=synth_design Complete! SRCSET=system_axi_bram_dyn_desc_0 PARENT=
RUN=system_axi_gpio_ad9528_measure_0_impl_1 STATUS=Not started SRCSET=system_axi_gpio_ad9528_measure_0 PARENT=system_axi_gpio_ad9528_measure_0_synth_1
RUN=system_axi_gpio_ad9528_measure_0_synth_1 STATUS=synth_design Complete! SRCSET=system_axi_gpio_ad9528_measure_0 PARENT=
RUN=system_axi_gpio_dynamic_mailbox_0_impl_1 STATUS=Not started SRCSET=system_axi_gpio_dynamic_mailbox_0 PARENT=system_axi_gpio_dynamic_mailbox_0_synth_1
RUN=system_axi_gpio_dynamic_mailbox_0_synth_1 STATUS=synth_design Complete! SRCSET=system_axi_gpio_dynamic_mailbox_0 PARENT=
RUN=system_blk_mem_dyn_desc_0_impl_1 STATUS=Not started SRCSET=system_blk_mem_dyn_desc_0 PARENT=system_blk_mem_dyn_desc_0_synth_1
RUN=system_blk_mem_dyn_desc_0_synth_1 STATUS=synth_design Complete! SRCSET=system_blk_mem_dyn_desc_0 PARENT=
RUN=system_ila_laser_axi_cfg_0_impl_1 STATUS=Not started SRCSET=system_ila_laser_axi_cfg_0 PARENT=system_ila_laser_axi_cfg_0_synth_1
RUN=system_ila_laser_axi_cfg_0_synth_1 STATUS=synth_design Complete! SRCSET=system_ila_laser_axi_cfg_0 PARENT=
RUN=system_laser_tx_core_0_0_impl_1 STATUS=Not started SRCSET=system_laser_tx_core_0_0 PARENT=system_laser_tx_core_0_0_synth_1
RUN=system_laser_tx_core_0_0_synth_1 STATUS=synth_design Complete! SRCSET=system_laser_tx_core_0_0 PARENT=
RUN=system_processing_system7_0_0_impl_1 STATUS=Not started SRCSET=system_processing_system7_0_0 PARENT=system_processing_system7_0_0_synth_1
RUN=system_processing_system7_0_0_synth_1 STATUS=synth_design Complete! SRCSET=system_processing_system7_0_0 PARENT=
