resource,current_driver_module,current_driver_signal,legacy_owner,dynamic_owner_needed,arbiter_required,direct_multiple_driver_risk,integration_action
GT_DRP_ADDR,laser_gt_rate_resource_arbiter,gt_drp_addr,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
GT_DRP_DI,laser_gt_rate_resource_arbiter,gt_drp_di,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
GT_DRP_EN,laser_gt_rate_resource_arbiter,gt_drp_en,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
GT_DRP_WE,laser_gt_rate_resource_arbiter,gt_drp_we,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
CPLL_RESET,laser_gt_rate_resource_arbiter,cpll_reset,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"safe-reset OR during ownership handoff"
QPLL_RESET,laser_gt_rate_resource_arbiter,qpll_reset,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"safe-reset OR during ownership handoff"
PLL_SOURCE_SELECT,laser_gt_rate_resource_arbiter,qpll_selected,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"source select changes only after reset-safe handoff"
REFCLK_SOURCE_SELECT,laser_gt_rate_resource_arbiter,refclk_north_selected,constant_local_refclk,laser_gt_dynamic_rate_executor,yes,no,"local/GTNORTHREFCLK0 owner-locked select"
TXOUT_DIV_DRP,laser_gt_rate_resource_arbiter,GT_DRP_0x088,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"read-modify-write-readback"
MMCM_DRP_ADDR,laser_gt_rate_resource_arbiter,mmcm_drp_addr,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
MMCM_DRP_DI,laser_gt_rate_resource_arbiter,mmcm_drp_di,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
MMCM_DRP_EN,laser_gt_rate_resource_arbiter,mmcm_drp_en,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
MMCM_DRP_WE,laser_gt_rate_resource_arbiter,mmcm_drp_we,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"owner-locked mux"
MMCM_RESET,laser_gt_rate_resource_arbiter,mmcm_reset,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"safe-reset OR during ownership handoff"
GT_TX_RESET,laser_gt_rate_resource_arbiter,gt_reset,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"safe-reset OR during ownership handoff"
TXUSERRDY_BLOCK,laser_gt_rate_resource_arbiter,txuserrdy_block,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"safe block OR during ownership handoff"
TX_QUIESCE_ENABLE_GATE,laser_tx_core,rate_apply_enable_blocked,laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,yes,no,"arbiter output gates effective TX enable"
TX_IDLE,laser_tx_core,gpio_status[3:4],laser_gt_rate_switch_500m_1000m,laser_gt_dynamic_rate_executor,no,no,"read-only shared status"
LASER_ENABLE_REQUEST,PS_AXI_GPIO,gpio_ctrl[9],PS_AXI_GPIO,read-only snapshot,no,no,"executor latches previous request; arbiter block restores unchanged request"
