line_rate_bps,display_rate_mbps,preferred_refclk_hz,preferred_pll,preferred_M_N1_N2_or_QPLL_N_M,preferred_txout_div,preferred_pll_vco_hz,expected_txusrclk_hz,expected_txusrclk2_hz,preferred_category,reuse_existing_pll_group,reuse_existing_txout_div,requires_new_cpll_group,requires_new_qpll_static_profile,requires_qpll_drp,requires_156p25_refclk_path,requires_fractional_rate_protocol,alternative_implementation_count,alternative_implementations,recommendation_reason,estimated_complexity,recommended_batch
585937500,585.9375,156250000,CPLL,M=1;N1=5;N2=3,8,2343750000,18310547,9155273,RECOMMENDED_156P25M_CPLL,false,true,true,false,false,true,true,0,[],selected by global line-rate deduplication; requires second 156.25MHz refclk path; CPLL preferred over QPLL at the same refclk; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,HIGH,C_156P25M_CPLL_REFCLK_PATH
644531250,644.53125,156250000,QPLL,QPLL_N=66;M=1;RATIO=0,16,10312500000,20141602,10070801,RECOMMENDED_156P25M_QPLL,false,false,false,true,TBD_WIZARD_CONFIRMATION,true,true,0,[],selected by global line-rate deduplication; requires second 156.25MHz refclk path; no higher-priority legal CPLL implementation exists; requires a new QPLL static profile review; requires rate_bps protocol/display migration,VERY_HIGH,E_156P25M_QPLL_REFCLK_AND_PROFILE
781250000,781.25,125000000,CPLL,M=1;N1=5;N2=5,8,3125000000,24414062,12207031,RECOMMENDED_125M_CPLL,true,true,false,false,false,false,true,5,"[""refclk=125MHz;pll=QPLL;M=2;QPLL_N=100;RATIO=1;D=8;VCO=6250MHz"",""refclk=156.25MHz;pll=CPLL;M=1;N1=4;N2=5;D=8;VCO=3125MHz"",""refclk=156.25MHz;pll=CPLL;M=1;N1=5;N2=4;D=8;VCO=3125MHz"",""refclk=156.25MHz;pll=QPLL;M=1;QPLL_N=40;RATIO=1;D=8;VCO=6250MHz"",""refclk=156.25MHz;pll=QPLL;M=2;QPLL_N=80;RATIO=1;D=8;VCO=6250MHz""]",selected by global line-rate deduplication; 125MHz preferred over 156.25MHz; CPLL preferred over QPLL at the same refclk; reuses an existing 125MHz CPLL divider group; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,MEDIUM,A_FRACTIONAL_RATE_BPS_PREREQUISITE
937500000,937.5,125000000,CPLL,M=1;N1=5;N2=3,4,1875000000,29296875,14648438,RECOMMENDED_125M_CPLL,false,true,true,false,false,false,true,1,"[""refclk=156.25MHz;pll=CPLL;M=1;N1=4;N2=3;D=4;VCO=1875MHz""]",selected by global line-rate deduplication; 125MHz preferred over 156.25MHz; CPLL preferred over QPLL at the same refclk; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,MEDIUM,A_FRACTIONAL_RATE_BPS_PREREQUISITE
976562500,976.5625,156250000,CPLL,M=2;N1=5;N2=5,4,1953125000,30517578,15258789,RECOMMENDED_156P25M_CPLL,false,true,true,false,false,true,true,1,"[""refclk=156.25MHz;pll=QPLL;M=2;QPLL_N=100;RATIO=1;D=8;VCO=7812.5MHz""]",selected by global line-rate deduplication; requires second 156.25MHz refclk path; CPLL preferred over QPLL at the same refclk; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,HIGH,C_156P25M_CPLL_REFCLK_PATH
1171875000,1171.875,156250000,CPLL,M=1;N1=5;N2=3,4,2343750000,36621094,18310547,RECOMMENDED_156P25M_CPLL,false,true,true,false,false,true,true,0,[],selected by global line-rate deduplication; requires second 156.25MHz refclk path; CPLL preferred over QPLL at the same refclk; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,HIGH,C_156P25M_CPLL_REFCLK_PATH
1289062500,1289.0625,156250000,QPLL,QPLL_N=66;M=1;RATIO=0,8,10312500000,40283203,20141602,RECOMMENDED_156P25M_QPLL,false,true,false,true,TBD_WIZARD_CONFIRMATION,true,true,0,[],selected by global line-rate deduplication; requires second 156.25MHz refclk path; no higher-priority legal CPLL implementation exists; requires a new QPLL static profile review; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,VERY_HIGH,E_156P25M_QPLL_REFCLK_AND_PROFILE
1562500000,1562.5,125000000,CPLL,M=1;N1=5;N2=5,4,3125000000,48828125,24414062,RECOMMENDED_125M_CPLL,true,true,false,false,false,false,true,5,"[""refclk=125MHz;pll=QPLL;M=2;QPLL_N=100;RATIO=1;D=4;VCO=6250MHz"",""refclk=156.25MHz;pll=CPLL;M=1;N1=4;N2=5;D=4;VCO=3125MHz"",""refclk=156.25MHz;pll=CPLL;M=1;N1=5;N2=4;D=4;VCO=3125MHz"",""refclk=156.25MHz;pll=QPLL;M=1;QPLL_N=40;RATIO=1;D=4;VCO=6250MHz"",""refclk=156.25MHz;pll=QPLL;M=2;QPLL_N=80;RATIO=1;D=4;VCO=6250MHz""]",selected by global line-rate deduplication; 125MHz preferred over 156.25MHz; CPLL preferred over QPLL at the same refclk; reuses an existing 125MHz CPLL divider group; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,MEDIUM,A_FRACTIONAL_RATE_BPS_PREREQUISITE
1875000000,1875,125000000,CPLL,M=1;N1=5;N2=3,2,1875000000,58593750,29296875,RECOMMENDED_125M_CPLL,false,true,true,false,false,false,false,1,"[""refclk=156.25MHz;pll=CPLL;M=1;N1=4;N2=3;D=2;VCO=1875MHz""]",selected by global line-rate deduplication; 125MHz preferred over 156.25MHz; CPLL preferred over QPLL at the same refclk; uses an existing TXOUT_DIV encoding,MEDIUM,B_125M_CPLL_NEW_GROUP
1953125000,1953.125,156250000,CPLL,M=2;N1=5;N2=5,2,1953125000,61035156,30517578,RECOMMENDED_156P25M_CPLL,false,true,true,false,false,true,true,1,"[""refclk=156.25MHz;pll=QPLL;M=2;QPLL_N=100;RATIO=1;D=4;VCO=7812.5MHz""]",selected by global line-rate deduplication; requires second 156.25MHz refclk path; CPLL preferred over QPLL at the same refclk; uses an existing TXOUT_DIV encoding; requires rate_bps protocol/display migration,HIGH,C_156P25M_CPLL_REFCLK_PATH
